tender_id,title,description,organization,category,value,currency,published_date,deadline,location,status
TND-2025-001,Cloud Infrastructure Upgrade,Seeking proposals for upgrading our cloud infrastructure to support AI/ML workloads with high availability and scalability requirements,Ministry of Technology,IT Infrastructure,2500000,USD,2025-01-15,2025-03-30,Washington DC,Open
TND-2025-002,Smart City IoT Platform,Development and deployment of IoT platform for smart city initiatives including traffic management and environmental monitoring,City Council,Smart City,5000000,USD,2025-01-10,2025-04-15,San Francisco,Open
TND-2025-003,Healthcare Data Analytics System,Implementation of advanced analytics platform for healthcare data with HIPAA compliance and real-time insights,Health Department,Healthcare IT,3200000,USD,2025-01-12,2025-03-20,Boston,Open
TND-2025-004,Renewable Energy Management,Energy management system for monitoring and optimizing renewable energy sources across municipal facilities,Energy Commission,Energy,1800000,USD,2025-01-08,2025-02-28,Austin,Open
TND-2025-005,Cybersecurity Operations Center,Establishment of 24/7 security operations center with threat detection and incident response capabilities,Defense Department,Cybersecurity,4500000,USD,2025-01-20,2025-05-01,Arlington,Open
TND-2025-006,Education Management Platform,Comprehensive learning management system with virtual classroom capabilities and student performance analytics,Education Board,EdTech,1500000,USD,2025-01-05,2025-03-15,Seattle,Open
TND-2025-007,Supply Chain Optimization,AI-powered supply chain management and procurement optimization system with predictive analytics,Logistics Agency,Supply Chain,2800000,USD,2025-01-18,2025-04-10,Chicago,Open
TND-2025-008,Digital Identity Platform,Secure digital identity and authentication system for citizen services with biometric integration,Digital Services,Identity Management,3500000,USD,2025-01-14,2025-03-25,New York,Open
TND-2025-009,Public Transportation Analytics,Real-time analytics platform for public transportation optimization and passenger flow management,Transit Authority,Transportation,2200000,USD,2025-01-11,2025-03-05,Portland,Open
TND-2025-010,Environmental Monitoring Network,IoT-based environmental monitoring system for air quality water quality and pollution tracking,EPA,Environment,1900000,USD,2025-01-16,2025-04-20,Denver,Open
TND-2025-011,Financial Management Suite,Integrated financial planning budgeting and reporting system with audit trail capabilities,Finance Department,Finance,2600000,USD,2025-01-13,2025-03-18,Miami,Open
TND-2025-012,Emergency Response System,Unified emergency response and disaster management platform with GIS integration,Emergency Management,Public Safety,3800000,USD,2025-01-19,2025-04-25,Los Angeles,Open
TND-2025-013,Data Center Modernization,Modernization of legacy data centers with virtualization high-performance computing capabilities,IT Services,Data Center,4200000,USD,2025-01-17,2025-05-10,Dallas,Open
TND-2025-014,Citizen Engagement Portal,Digital platform for citizen services feedback and community engagement with mobile app,City Services,Civic Tech,1200000,USD,2025-01-09,2025-02-28,Phoenix,Open
TND-2025-015,Waste Management Optimization,Smart waste management system with route optimization and recycling tracking,Sanitation Dept,Sustainability,1600000,USD,2025-01-21,2025-03-30,San Diego,Open